business_name,immediate_categories,parent_categories,price
Pai Northern Thai Kitchen,Thai,Restaurants,$$
Banh Mi Boys,"Vietnamese, Sandwiches",Restaurants,$
Starbucks,Coffee & Tea,Food,$
Khao San Road,Thai,Restaurants,$$
KINKA IZAKAYA ORIGINAL,"Japanese, Pubs","Restaurants,Bars",$$
Seven Lives Tacos Y Mariscos,Mexican,Restaurants,$
Terroni,Italian,Restaurants,$$
The Burger's Priest,Burgers,Restaurants,$$
Jack Astor's Bar & Grill,"Canadian (New), Burgers, Sports Bars","Restaurants,Bars",$$
La Carnita,Mexican,Restaurants,$$
KINTON RAMEN,"Noodles, Ramen","Restaurants,Japanese",$$
Uncle Tetsu's Japanese Cheesecake,"Desserts, Bakeries",Food,$
Momofuku Noodle Bar,"Noodles, Ramen","Restaurants,Japanese",$$
Bang Bang Ice Cream and Bakery,"Ice Cream & Frozen Yogurt, Desserts",Food,$$
Salad King Restaurant,Thai,Restaurants,$$
Pizzeria Libretto,"Pizza, Italian",Restaurants,$$
Sweet Jesus,"Ice Cream & Frozen Yogurt, Desserts, Coffee & Tea",Food,$$
Gusto 101,Italian,Restaurants,$$
Insomnia Restaurant & Lounge,"Comfort Food, Breakfast & Brunch, Lounges","Restaurants,Bars",$$
Sansotei Ramen,"Noodles, Ramen","Restaurants,Japanese",$$
Aroma espresso bar,"Cafes, Coffee & Tea","Food,Restaurants",$$
El Catrin Destileria,Mexican,Restaurants,$$$
The Captain's Boil,"Cajun/Creole, Seafood, Asian Fusion",Restaurants,$$$
Hokkaido Ramen Santouka,Ramen,Japanese,
Burrito Boyz,Mexican,Restaurants,$
360 Restaurant,Canadian (New),Restaurants,$$$$
Wvrst,"Beer Bar, German","Restaurants,Bars",$$
Mildred's Temple Kitchen,"Breakfast & Brunch, Canadian (New)",Restaurants,$$
The Stockyards,"Burgers, American (Traditional), Barbeque",Restaurants,$$
Fishman Lobster Clubhouse Restaurant,"Chinese, Seafood",Restaurants,$$$
Byblos,"Middle Eastern, Mediterranean",Restaurants,$$$
Japango,Sushi Bars,Restaurants,$$
Grand Electric,"Mexican, Bars","Restaurants,Nightlife",$$
Richmond Station,Canadian (New),Restaurants,$$$
Tsujiri,"Ice Cream & Frozen Yogurt, Tea Rooms, Desserts",Food,$$
The Pickle Barrel,Canadian (New),Restaurants,$$
McDonald's,"Burgers, Coffee & Tea, Fast Food","Restaurants,Food",
Tim Hortons,"Coffee & Tea, Breakfast & Brunch, Sandwiches","Restaurants,Food",$
Smoke's Poutinerie,"Poutineries, Fast Food",Restaurants,$$
Rol San,Dim Sum,Chinese,$$
CN Tower,"Observatories, Landmarks & Historical Buildings","Public Services & Government,Arts & Entertainment",
Eggspectation,"Breakfast & Brunch, Juice Bars & Smoothies","Restaurants,Food",$$
Fran's Restaurant,"Breakfast & Brunch, American (Traditional), Diners",Restaurants,$$
Canoe,Canadian (New),Restaurants,$$$$
Miku,"Japanese, Sushi Bars",Restaurants,$$$
The Bier Markt,"Canadian (New), Beer, Wine & Spirits, Bars","Food,Nightlife,Restaurants",$$
Beerbistro,"Beer Bar, Bistros","Restaurants,Bars",$$
Amsterdam BrewHouse,Breweries,Food,$$
Katsuya,Japanese,Restaurants,$$
Lee Restaurant,Asian Fusion,Restaurants,$$$
Nomé Izakaya,"Tapas Bars, Japanese, Lounges","Restaurants,Bars",$$
Sabai Sabai Kitchen and Bar,"Thai, Laotian, Bars","Restaurants,Nightlife",$$
Korean Grill House,Korean,Restaurants,$$
Ramen Isshin,Ramen,Japanese,$$
Spring Rolls,"Thai, Sushi Bars, Asian Fusion",Restaurants,$$
Sukho Thai,Thai,Restaurants,$$
Cibo Wine Bar,"Wine Bars, Italian","Restaurants,Bars",$$$
Big Smoke Burger,Burgers,Restaurants,
Pearl Diver,"Comfort Food, Breakfast & Brunch, Seafood",Restaurants,$$
Banjara Indian Cuisine,Indian,Restaurants,$$
Starving Artist,"Canadian (New), Breakfast & Brunch",Restaurants,$$
Dumpling House Restaurant,Chinese,Restaurants,$
Chipotle Mexican Grill,"Mexican, Fast Food",Restaurants,$$
Mother's Dumplings,Chinese,Restaurants,$$
Ravi Soups,"Soup, Sandwiches",Restaurants,$$
Shoppers Drug Mart,Drugstores,Shopping,$$
Oliver & Bonacini Café Grill,Italian,Restaurants,$$
Yuzu No Hana,"Japanese, Sushi Bars",Restaurants,$$$
St Lawrence Market,Farmers Market,Food,$$
Bannock,"Canadian (New), Breakfast & Brunch, Sandwiches",Restaurants,$$
Ripley's Aquarium of Canada,Aquariums,Active Life,
Jacobs & Co. Steakhouse,Steakhouses,Restaurants,$$$$
Paramount Middle Eastern Kitchen,Middle Eastern,Restaurants,$$
Matsuda Japanese Cuisine,Japanese,Restaurants,$$
School Restaurant,"Breakfast & Brunch, Canadian (New), Bakeries","Food,Restaurants",$$
Jimmy's Coffee,Coffee & Tea,Food,$$
Milestones Restaurants,"Comfort Food, Canadian (New), Bars","Restaurants,Nightlife",$$
Cocktail Bar,Bars,Nightlife,$$$
Wilbur Mexicana,Mexican,Restaurants,$$
Caplansky's Delicatessen,"Breakfast & Brunch, Delis",Restaurants,$$
Cluny Bistro & Boulangerie,"Wine Bars, French, Cocktail Bars","Restaurants,Bars",$$$
Lady Marmalade,"Breakfast & Brunch, Mexican",Restaurants,$$
The Cheesecake Factory,"Desserts, American (Traditional)","Food,Restaurants",$$
St. Louis Bar & Grill,"Sports Bars, Chicken Wings","Restaurants,Bars",$$
Blaze Fast-Fire'd Pizza,"Salad, Pizza, Fast Food",Restaurants,$$
Barque Smokehouse,"Smokehouse, Barbeque","Restaurants,Food",$$
Swiss Chalet Rotisserie & Grill,"Comfort Food, American (Traditional)",Restaurants,$$
Lahore Tikka House,"Pakistani, Halal",Restaurants,$$
Loblaws,Grocery,Food,$$
JaBistro,"Japanese, Sushi Bars",Restaurants,$$$
Messini Authentic Gyros,"Greek, Sandwiches",Restaurants,$$
Soma Chocolatemaker,"Ice Cream & Frozen Yogurt, Desserts, Chocolatiers & Shops","Food,Specialty Food",$$
Buk Chang Dong Soon Tofu,Korean,Restaurants,$
The Senator,"Wine Bars, Breakfast & Brunch, Canadian (New)","Restaurants,Bars",$$
Pho Hung,Vietnamese,Restaurants,$
Mill Street Brew Pub,Brewpubs,Breweries,$$
GB Hand-pulled Noodles,"Noodles, Chinese",Restaurants,$$
Real Sports,"Canadian (New), Sports Bars","Restaurants,Bars",$$
KINKA IZAKAYA ANNEX,"Japanese, Pubs, Tapas/Small Plates","Restaurants,Bars",$$
Sukhothai,"Thai, Noodles",Restaurants,$$
JOEY Eaton Centre,"Canadian (New), Lounges","Restaurants,Bars",$$
Sneaky Dee's,"Breakfast & Brunch, Tex-Mex, Bars","Restaurants,Nightlife",$$
Scaddabush Italian Kitchen & Bar,"Wine Bars, Beer, Wine & Spirits, Italian","Restaurants,Food,Bars",$$
Kekou Gelato House,"Ice Cream & Frozen Yogurt, Desserts",Food,$
Ginger,Vietnamese,Restaurants,$$
Patria,"Spanish, Tapas Bars, Wine Bars","Restaurants,Bars",$$$
Levetto,"Salad, Pizza, Italian",Restaurants,$$
Cactus Club Cafe,"Canadian (New), Cocktail Bars","Restaurants,Bars",$$$
Nadege,"Patisserie/Cake Shop, Desserts, Macarons","Food,Specialty Food",$$$
La Cubana,"Desserts, Cuban, Sandwiches","Restaurants,Food",$$
Manpuku Japanese Eatery,"Japanese, Noodles",Restaurants,$
Jatujak,"Thai, Food Delivery Services","Food,Restaurants",$$
Sunset Grill,"Breakfast & Brunch, Canadian (New), Diners",Restaurants,$
Saku Sushi,"Japanese, Sushi Bars",Restaurants,$$
Freshii,"Salad, Vegetarian, Fast Food",Restaurants,$$
Playa Cabana,"Mexican, Bars","Restaurants,Nightlife",$$
Bar Hop,Bars,Nightlife,$$
Konjiki Ramen,Ramen,Japanese,$$
Ka Chi,Korean,Restaurants,$$
Pizzaiolo,"Vegan, Pizza, Gluten-Free",Restaurants,$
Buca,Italian,Restaurants,$$$
The Hogtown Vegan,Vegan,Restaurants,$$
Asian Legend,Dim Sum,Chinese,$$
Harvest Kitchen,"Canadian (New), Bars","Restaurants,Nightlife",$$
The Lakeview,"Canadian (New), Diners",Restaurants,$$
Fat Ninja Bite,"Japanese, Korean, Burgers",Restaurants,$$
Wild Wing,"Chicken Wings, American (Traditional), Barbeque",Restaurants,$$
King's Noodle Restaurant,"Noodles, Chinese, Barbeque",Restaurants,$$
Beast Restaurant,"Canadian (New), Breakfast & Brunch",Restaurants,$$
Wow Sushi,Sushi Bars,Restaurants,$$
Jamie's Italian,Italian,Restaurants,$$
Maha's,"Vegan, Egyptian, Sandwiches","Restaurants,Middle Eastern",$$
Earls Kitchen + Bar,"Canadian (New), Cocktail Bars","Restaurants,Bars",$$
Le Sélect Bistro,"French, Breakfast & Brunch, Coffee & Tea","Restaurants,Food",$$$
Bar Isabel,"Spanish, Tapas Bars",Restaurants,$$$
Sushi & BBbop,"Japanese, Sushi Bars, Korean",Restaurants,$$
MeNami,"Japanese, Asian Fusion",Restaurants,$$
Grazie Ristorante,Italian,Restaurants,$$
Porchetta & Co,Sandwiches,Restaurants,$$
Holy Chuck,Burgers,Restaurants,$$
GoodLife Fitness,"Sports Clubs, Trainers, Gyms","Fitness & Instruction,Active Life",
The Queen And Beaver Public House,"British, Pubs","Restaurants,Bars",$$
Touhenboku Ramen Restaurant,"Desserts, Ramen","Food,Japanese",$$
Little India Restaurant,"Indian, Buffets",Restaurants,$$
Kenzo Ramen,Ramen,Japanese,$$
Union Social Eatery,"Burgers, Gastropubs, Barbeque",Restaurants,$$
The Drake Hotel,Hotels,"Event Planning & Services,Hotels & Travel",$$
The Chase,Seafood,Restaurants,$$$
