"name","categories","address","postalCode","avgRating","reviewCount","price","rating","timeCreated","userId"
"Pai Northern Thai Kitchen","Thai","18 Duncan Street","M5H 3G8",4.5,2657,"$$",5,"2019-09-28 18:05:28","d1JhMG7-EwEIYdGUHv49RA"
"Pai Northern Thai Kitchen","Thai","18 Duncan Street","M5H 3G8",4.5,2657,"$$",5,"2019-09-26 09:44:09","9Pf8YN4X0gIwrKgHXMJJXQ"
"Pai Northern Thai Kitchen","Thai","18 Duncan Street","M5H 3G8",4.5,2657,"$$",4,"2019-09-26 08:55:33","ybt7rx15lQ5h46WrD0m0Eg"
"KINKA IZAKAYA ORIGINAL","Japanese,Pubs","398 Church St","M5B 2A2",4,1574,"$$",5,"2019-08-28 21:20:40","z5soJa3biA6Vd8f7NCwT3g"
"KINKA IZAKAYA ORIGINAL","Japanese,Pubs","398 Church St","M5B 2A2",4,1574,"$$",2,"2019-09-23 16:51:03","pfywmL35UQgIshdbq1o1rA"
"KINKA IZAKAYA ORIGINAL","Japanese,Pubs","398 Church St","M5B 2A2",4,1574,"$$",4,"2019-08-13 07:17:10","2bSX1ipFgI7AnWHvvjK2Yw"
"Khao San Road","Thai","11 Charlotte Street","M5V 2H5",4,1527,"$$",5,"2019-09-28 11:49:15","tvf-Rp4XmuFglNatRD_gGA"
"Khao San Road","Thai","11 Charlotte Street","M5V 2H5",4,1527,"$$",3,"2019-09-24 22:05:03","ic-tyi1jElL_umxZVh8KNA"
"Khao San Road","Thai","11 Charlotte Street","M5V 2H5",4,1527,"$$",5,"2019-09-08 09:15:55","hzXFeBq4HmBON3WWlCMhoA"
"Seven Lives Tacos Y Mariscos","Mexican","69 Kensington Avenue","M5T 2K2",4.5,1268,"$",5,"2019-09-28 10:55:35","hmokjYjxpGit6NsgcHgHUg"
"Seven Lives Tacos Y Mariscos","Mexican","69 Kensington Avenue","M5T 2K2",4.5,1268,"$",4,"2019-09-25 11:29:46","ybt7rx15lQ5h46WrD0m0Eg"
"Seven Lives Tacos Y Mariscos","Mexican","69 Kensington Avenue","M5T 2K2",4.5,1268,"$",4,"2019-09-22 05:30:08","CSxe7cFEyfTClJolLYqhUA"
"Banh Mi Boys","Vietnamese,Sandwiches","392 Queen Street W","M5V 2A9",4.5,1088,"$",5,"2019-08-21 11:34:08","cOAPYZkZSYlc8oXK5Sf-lg"
"Banh Mi Boys","Vietnamese,Sandwiches","392 Queen Street W","M5V 2A9",4.5,1088,"$",5,"2019-08-18 19:45:21","feXrqZbhnsLY7EcxI488lg"
"Banh Mi Boys","Vietnamese,Sandwiches","392 Queen Street W","M5V 2A9",4.5,1088,"$",4,"2019-08-03 11:08:48","fkdrvWbTnW3NSaAQDQ7m9w"
"Uncle Tetsu's Japanese Cheesecake","Desserts,Bakeries","598 Bay Street","M5G 1M5",3.5,1003,"$",4,"2019-07-21 14:46:11","8k8R45I6CBIOwxWFKeg2HQ"
"Uncle Tetsu's Japanese Cheesecake","Desserts,Bakeries","598 Bay Street","M5G 1M5",3.5,1003,"$",3,"2019-09-05 09:14:09","Imp_vBTRN7faVibqpdu8fw"
"Uncle Tetsu's Japanese Cheesecake","Desserts,Bakeries","598 Bay Street","M5G 1M5",3.5,1003,"$",3,"2019-08-14 15:00:41","7zKksGyRGJBteT-FlB9cqQ"
"Momofuku Noodle Bar","Ramen,Noodles","190 University Avenue","M5H 0A3",3,992,"$$",5,"2019-09-17 06:26:29","5nZShCg1eNxJO_HUcWEV5w"
"Momofuku Noodle Bar","Ramen,Noodles","190 University Avenue","M5H 0A3",3,992,"$$",3,"2019-09-23 10:44:08","Dm6QWjloZXuZEONFKLAdlw"
"Momofuku Noodle Bar","Ramen,Noodles","190 University Avenue","M5H 0A3",3,992,"$$",4,"2019-09-10 19:35:37","xh84BlvTytrjuyOkSyevHg"
"Bang Bang Ice Cream and Bakery","Desserts,Ice Cream & Frozen Yogurt","93a Ossington Avenue","M6J 2Z2",4,975,"$$",5,"2019-09-21 23:03:40","Y5ILp4yzjuQBcijChEksgw"
"Bang Bang Ice Cream and Bakery","Desserts,Ice Cream & Frozen Yogurt","93a Ossington Avenue","M6J 2Z2",4,975,"$$",4,"2019-09-07 21:54:27","w9VSbG6bWPflax5_gwt6pg"
"Bang Bang Ice Cream and Bakery","Desserts,Ice Cream & Frozen Yogurt","93a Ossington Avenue","M6J 2Z2",4,975,"$$",5,"2019-09-07 09:27:15","sERJlLfdfjUDUix2AFmCxg"
"Gusto 101","Italian","101 Portland Street","M5V 2N3",4,942,"$$",4,"2019-09-20 19:57:20","uddWmfMhvMYaj3Uog3fMjw"
"Gusto 101","Italian","101 Portland Street","M5V 2N3",4,942,"$$",3,"2019-09-19 14:38:53","GGI39_EL1ERSqyWX1tEjMA"
"Gusto 101","Italian","101 Portland Street","M5V 2N3",4,942,"$$",4,"2019-09-17 06:56:22","5nZShCg1eNxJO_HUcWEV5w"
"Salad King Restaurant","Thai","340 Yonge Street","M5B 1R8",3.5,935,"$$",4,"2019-09-05 07:58:20","Imp_vBTRN7faVibqpdu8fw"
"Salad King Restaurant","Thai","340 Yonge Street","M5B 1R8",3.5,935,"$$",5,"2019-09-02 07:54:39","hzXFeBq4HmBON3WWlCMhoA"
"Salad King Restaurant","Thai","340 Yonge Street","M5B 1R8",3.5,935,"$$",3,"2019-08-27 06:51:20","6btMczuTVuoJnmarbkWP_A"
